X	Y
1.579590e-01	9.666731e-01
1.582031e-01	9.666721e-01
1.584473e-01	9.666713e-01
1.586914e-01	9.666706e-01
1.589355e-01	9.666700e-01
1.591797e-01	9.666697e-01
1.594238e-01	9.666694e-01
1.596680e-01	9.666693e-01
1.599121e-01	9.666694e-01
1.601562e-01	9.666696e-01
1.604004e-01	9.666700e-01
1.606445e-01	9.666705e-01
1.608887e-01	9.666712e-01
1.611328e-01	9.666721e-01
1.613770e-01	9.666731e-01
1.616211e-01	9.666742e-01
1.618652e-01	9.666755e-01
1.621094e-01	9.666770e-01
1.623535e-01	9.666786e-01
1.625977e-01	9.666803e-01
1.628418e-01	9.666822e-01
1.630859e-01	9.666843e-01
1.633301e-01	9.666865e-01
1.635742e-01	9.666889e-01
1.638184e-01	9.666914e-01
1.640625e-01	9.666941e-01
1.643066e-01	9.666969e-01
1.645508e-01	9.666999e-01
1.647949e-01	9.667030e-01
1.650391e-01	9.667063e-01
1.652832e-01	9.667098e-01
1.655273e-01	9.667134e-01
1.657715e-01	9.667171e-01
1.660156e-01	9.667210e-01
1.662598e-01	9.667251e-01
1.665039e-01	9.667293e-01
1.667480e-01	9.667337e-01
1.669922e-01	9.667382e-01
1.672363e-01	9.667428e-01
1.674805e-01	9.667477e-01
1.677246e-01	9.667526e-01
1.679688e-01	9.667578e-01
1.682129e-01	9.667631e-01
1.684570e-01	9.667685e-01
1.687012e-01	9.667741e-01
1.689453e-01	9.667798e-01
1.691895e-01	9.667857e-01
1.694336e-01	9.667918e-01
1.696777e-01	9.667980e-01
1.699219e-01	9.668043e-01
1.701660e-01	9.668108e-01
1.704102e-01	9.668175e-01
1.706543e-01	9.668243e-01
1.708984e-01	9.668313e-01
1.711426e-01	9.668384e-01
1.713867e-01	9.668456e-01
1.716309e-01	9.668531e-01
1.718750e-01	9.668606e-01
1.721191e-01	9.668684e-01
1.723633e-01	9.668763e-01
1.726074e-01	9.668843e-01
1.728516e-01	9.668925e-01
1.730957e-01	9.669008e-01
1.733398e-01	9.669093e-01
1.735840e-01	9.669180e-01
1.738281e-01	9.669268e-01
1.740723e-01	9.669357e-01
1.743164e-01	9.669448e-01
1.745605e-01	9.669541e-01
1.748047e-01	9.669635e-01
